system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source,notes,span_evaluated_m,carbon_total_kgCO2,carbon_per_m2,cost_total,cost_per_m2,_carbon_breakdown,evaluated_span_m,type,category
TR60_normal_weight_10,TR60_normal_weight,0.13,0.0012,,,,3.961,5.0,3.746,0.13541667,0.065,,concrete,,eu_steel_1.2,,,SMD_TR60_single_FR1.0_SD130_MA142_G1.2,,,0.0,1043.8967501739999,1043.8967501739999,16.250016960504997,16.250016960504997,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 0.13541667, 'qty_kg': 325.000008, 'a1a3': 4.468750109999999, 'a4': 0.9750000239999999, 'a5': 1.62500004, 'total': 7.068750173999999, 'cost': 16.250000399999998}, {'material_id': 'eu_steel_1.2', 'category': 'steel_m3', 'qty_m3': 0.065, 'qty_kg': 510.25, 'a1a3': 1020.5, 'a4': 6.122999999999999, 'a5': 10.205, 'total': 1036.828, 'cost': 1.6560505e-05}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
Wells_DT2010_1,Wells_DT2010,2.0,1.67,,,42.5,15.0,100.0,37.0,1.77083333,0.85,,concrete,,,,,Wells_DT2010_office,,,0.0,13650.957499826,13650.957499826,212.50021616045004,212.50021616045004,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 1.77083333, 'qty_kg': 4249.999992, 'a1a3': 58.437499890000005, 'a4': 12.749999976000002, 'a5': 21.24999996, 'total': 92.437499826, 'cost': 212.49999960000002}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.85, 'qty_kg': 6672.5, 'a1a3': 13345.0, 'a4': 80.07, 'a5': 133.45, 'total': 13558.52, 'cost': 0.00021656044999999996}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT2010_4,Wells_DT2410,2.33,2.0,,,49.6,15.0,100.0,50.0,2.06666667,0.992,,concrete,,,,,Wells_DT2410_office,,,0.0,15931.470400174,15931.470400174,248.00025313878402,248.00025313878402,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 2.06666667, 'qty_kg': 4960.000008, 'a1a3': 68.20000011, 'a4': 14.880000023999997, 'a5': 24.80000004, 'total': 107.880000174, 'cost': 248.0000004}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.992, 'qty_kg': 7787.2, 'a1a3': 15574.4, 'a4': 93.44639999999998, 'a5': 155.744, 'total': 15823.590400000001, 'cost': 0.000252738784}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT2612_1,Wells_DT2612,2.5,2.17,,,57.4,15.0,100.0,50.0,2.39166667,1.148,,concrete,,,,,Wells_DT2612_office,,,0.0,18436.822600174,18436.822600174,287.00029288399605,287.00029288399605,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 2.39166667, 'qty_kg': 5740.000008000001, 'a1a3': 78.92500011000001, 'a4': 17.220000024, 'a5': 28.700000040000006, 'total': 124.84500017400002, 'cost': 287.00000040000003}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.148, 'qty_kg': 9011.8, 'a1a3': 18023.6, 'a4': 108.1416, 'a5': 180.236, 'total': 18311.9776, 'cost': 0.00029248399599999993}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT2612_4,Wells_DT2812,2.67,2.33,,,57.5,15.0,100.0,45.0,2.39583333,1.15,,concrete,,,,,Wells_DT2812_office,,,0.0,18468.942499825996,18468.942499825996,287.50029259354994,287.50029259354994,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 2.39583333, 'qty_kg': 5749.999992, 'a1a3': 79.06249989, 'a4': 17.249999975999998, 'a5': 28.74999996, 'total': 125.06249982599999, 'cost': 287.49999959999997}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.15, 'qty_kg': 9027.5, 'a1a3': 18055.0, 'a4': 108.33, 'a5': 180.55, 'total': 18343.88, 'cost': 0.00029299354999999994}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT3016_1,Wells_DT3016,2.83,2.5,,,75.2,15.0,100.0,52.0,3.13333333,1.504,,concrete,,,,,Wells_DT3016_office,,,0.0,24154.164799825998,24154.164799825998,376.000382784608,376.000382784608,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 3.13333333, 'qty_kg': 7519.999992, 'a1a3': 103.39999989, 'a4': 22.559999975999997, 'a5': 37.59999996, 'total': 163.559999826, 'cost': 375.9999996}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.504, 'qty_kg': 11806.4, 'a1a3': 23612.8, 'a4': 141.67680000000001, 'a5': 236.128, 'total': 23990.6048, 'cost': 0.00038318460799999997}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT3210_1,Wells_DT3210,3.0,2.67,,,65.6,15.0,100.0,75.0,2.73333333,1.312,,concrete,,,,,Wells_DT3210_office,,,0.0,21070.654399826002,21070.654399826002,328.000333867424,328.000333867424,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 2.73333333, 'qty_kg': 6559.999991999999, 'a1a3': 90.19999988999999, 'a4': 19.679999975999994, 'a5': 32.799999959999994, 'total': 142.67999982599997, 'cost': 327.99999959999997}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.312, 'qty_kg': 10299.2, 'a1a3': 20598.4, 'a4': 123.59040000000002, 'a5': 205.984, 'total': 20927.974400000003, 'cost': 0.000334267424}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
Wells_DT4208_1,Wells_DT4208,3.83,3.5,,,83.9,15.0,100.0,60.0,3.49583333,1.678,,concrete,,,,,Wells_DT4208_office,,,0.0,26948.596099826,26948.596099826,419.500427115806,419.500427115806,"[{'material_id': 'concrete', 'category': 'concrete', 'qty_m3': 3.49583333, 'qty_kg': 8389.999992, 'a1a3': 115.36249989, 'a4': 25.169999976, 'a5': 41.94999996, 'total': 182.48249982599998, 'cost': 419.4999996}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.678, 'qty_kg': 13172.3, 'a1a3': 26344.6, 'a4': 158.0676, 'a5': 263.44599999999997, 'total': 26766.113599999997, 'cost': 0.0004275158059999999}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'screed', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,double_tee,precast
verco_2_0D_LWC_1,verco_2_0D_LWC,0.33464567,,,0.00333333,36.7,350.0,193.0,10.0,0.33363636,0.734,,us_lw_concrete,us_steel_22,,,,verco_2_0D_LWC_d4in_g22_L10ft_W350psf,,,0.0,11720.96691304246,11720.96691304246,29.393550322318,29.393550322318,"[{'material_id': 'us_lw_concrete', 'category': 'concrete', 'qty_m3': 0.33363636, 'qty_kg': 587.86726632, 'a1a3': 8.0831749119, 'a4': 1.76360179896, 'a5': 2.9393363316, 'total': 12.78611304246, 'cost': 29.393363316}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.734, 'qty_kg': 5761.9, 'a1a3': 11523.8, 'a4': 69.1428, 'a5': 115.238, 'total': 11708.180799999998, 'cost': 0.00018700631799999998}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_2_0D_NWC_1,verco_2_0D_NWC,0.33464567,,,0.00333333,48.3,354.0,251.0,10.0,0.33310345,0.966,,us_nw_concrete,us_steel_22,,,,verco_2_0D_NWC_d4in_g22_L10ft_W354psf,,,0.0,15425.686992037447,15425.686992037447,38.684882176882,38.684882176882,"[{'material_id': 'us_nw_concrete', 'category': 'concrete', 'qty_m3': 0.33310345, 'qty_kg': 773.6917219356501, 'a1a3': 10.63825826196, 'a4': 2.32107516580695, 'a5': 3.8684586096782505, 'total': 16.8277920374452, 'cost': 38.6846360623}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.966, 'qty_kg': 7583.099999999999, 'a1a3': 15166.199999999999, 'a4': 90.99719999999999, 'a5': 151.662, 'total': 15408.859199999999, 'cost': 0.000246114582}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_BR_LWC_1,verco_BR_LWC,0.29199475,,,0.00333333,32.1,1885.0,1847.0,4.0,0.29181818,0.642,,us_lw_concrete,us_steel_22,,,,verco_BR_36_LWC_d3p5in_g22_L4ft_W1885psf,,,0.0,10251.853894021231,10251.853894021231,25.709345224834,25.709345224834,"[{'material_id': 'us_lw_concrete', 'category': 'concrete', 'qty_m3': 0.29181818, 'qty_kg': 514.18363316, 'a1a3': 7.070024955949999, 'a4': 1.5425508994800001, 'a5': 2.5709181658, 'total': 11.183494021229999, 'cost': 25.709181658}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.642, 'qty_kg': 5039.7, 'a1a3': 10079.4, 'a4': 60.4764, 'a5': 100.794, 'total': 10240.670399999999, 'cost': 0.000163566834}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_BR_NWC_1,verco_BR_NWC,0.29199475,,,0.00333333,42.3,1963.0,2383.0,4.0,0.29172414,0.846,,us_nw_concrete,us_steel_22,,,,verco_BR_36_NWC_d3p5in_g22_L4ft_W1963psf,,,0.0,13509.452583116932,13509.452583116932,33.879306816102,33.879306816102,"[{'material_id': 'us_nw_concrete', 'category': 'concrete', 'qty_m3': 0.29172414, 'qty_kg': 677.58095032278, 'a1a3': 9.316735514352, 'a4': 2.03274285096834, 'a5': 3.3879047516139003, 'total': 14.737383116934241, 'cost': 33.87909127476}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.846, 'qty_kg': 6641.099999999999, 'a1a3': 13282.199999999999, 'a4': 79.69319999999999, 'a5': 132.822, 'total': 13494.715199999999, 'cost': 0.00021554134199999996}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLB_LWC_1,verco_PLB_LWC,0.29199475,,,0.00333333,32.1,1295.0,1431.0,4.0,0.29181818,0.642,,us_lw_concrete,us_steel_22,,,,verco_PLB_36_B_36_LWC_d3p5in_g22_L4ft_W1295psf,,,0.0,10251.853894021231,10251.853894021231,25.709345224834,25.709345224834,"[{'material_id': 'us_lw_concrete', 'category': 'concrete', 'qty_m3': 0.29181818, 'qty_kg': 514.18363316, 'a1a3': 7.070024955949999, 'a4': 1.5425508994800001, 'a5': 2.5709181658, 'total': 11.183494021229999, 'cost': 25.709181658}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.642, 'qty_kg': 5039.7, 'a1a3': 10079.4, 'a4': 60.4764, 'a5': 100.794, 'total': 10240.670399999999, 'cost': 0.000163566834}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLB_NWC_1,verco_PLB_NWC,0.29199475,,,0.00333333,42.3,1365.0,1830.0,4.0,0.29172414,0.846,,us_nw_concrete,us_steel_22,,,,verco_PLB_36_B_36_NWC_d3p5in_g22_L4ft_W1365psf,,,0.0,13509.452583116932,13509.452583116932,33.879306816102,33.879306816102,"[{'material_id': 'us_nw_concrete', 'category': 'concrete', 'qty_m3': 0.29172414, 'qty_kg': 677.58095032278, 'a1a3': 9.316735514352, 'a4': 2.03274285096834, 'a5': 3.3879047516139003, 'total': 14.737383116934241, 'cost': 33.87909127476}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.846, 'qty_kg': 6641.099999999999, 'a1a3': 13282.199999999999, 'a4': 79.69319999999999, 'a5': 132.822, 'total': 13494.715199999999, 'cost': 0.00021554134199999996}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLW2_LWC_1,verco_PLW2_LWC,0.33464567,,,0.00333333,36.7,739.0,649.0,6.0,0.33363636,0.734,,us_lw_concrete,us_steel_22,,,,verco_PLW2_36_W2_36_LWC_d4in_g22_L6ft_W739psf,,,0.0,11720.96691304246,11720.96691304246,29.393550322318,29.393550322318,"[{'material_id': 'us_lw_concrete', 'category': 'concrete', 'qty_m3': 0.33363636, 'qty_kg': 587.86726632, 'a1a3': 8.0831749119, 'a4': 1.76360179896, 'a5': 2.9393363316, 'total': 12.78611304246, 'cost': 29.393363316}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.734, 'qty_kg': 5761.9, 'a1a3': 11523.8, 'a4': 69.1428, 'a5': 115.238, 'total': 11708.180799999998, 'cost': 0.00018700631799999998}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLW2_NWC_1,verco_PLW2_NWC,0.33464567,,,0.00333333,48.3,765.0,843.0,6.0,0.33310345,0.966,,us_nw_concrete,us_steel_22,,,,verco_PLW2_36_W2_36_NWC_d4in_g22_L6ft_W765psf,,,0.0,15425.686992037447,15425.686992037447,38.684882176882,38.684882176882,"[{'material_id': 'us_nw_concrete', 'category': 'concrete', 'qty_m3': 0.33310345, 'qty_kg': 773.6917219356501, 'a1a3': 10.63825826196, 'a4': 2.32107516580695, 'a5': 3.8684586096782505, 'total': 16.8277920374452, 'cost': 38.6846360623}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.966, 'qty_kg': 7583.099999999999, 'a1a3': 15166.199999999999, 'a4': 90.99719999999999, 'a5': 151.662, 'total': 15408.859199999999, 'cost': 0.000246114582}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLW3_LWC_1,verco_PLW3_LWC,0.41666667,,,0.00333333,45.8,573.0,489.0,8.0,0.41636364,0.916,,us_lw_concrete,us_steel_22,,,,verco_PLW3_36_W3_36_LWC_d5in_g22_L8ft_W573psf,,,0.0,14627.255711957541,14627.255711957541,36.681870059732,36.681870059732,"[{'material_id': 'us_lw_concrete', 'category': 'concrete', 'qty_m3': 0.41636364, 'qty_kg': 733.63273368, 'a1a3': 10.087450088099999, 'a4': 2.2008982010400002, 'a5': 3.6681636684, 'total': 15.95651195754, 'cost': 36.681636684}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 0.916, 'qty_kg': 7190.6, 'a1a3': 14381.2, 'a4': 86.28720000000001, 'a5': 143.812, 'total': 14611.299200000001, 'cost': 0.000233375732}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
verco_PLW3_NWC_1,verco_PLW3_NWC,0.41666667,,,0.00333333,60.4,587.0,641.0,8.0,0.41655172,1.208,,us_nw_concrete,us_steel_22,,,,verco_PLW3_36_W3_36_NWC_d5in_g22_L8ft_W587psf,,,0.0,19290.093049766132,19290.093049766132,48.376125221096,48.376125221096,"[{'material_id': 'us_nw_concrete', 'category': 'concrete', 'qty_m3': 0.41655172, 'qty_kg': 967.51509935444, 'a1a3': 13.303328971296, 'a4': 2.90254529806332, 'a5': 4.8375754967722004, 'total': 21.04344976613152, 'cost': 48.37581745048}, {'material_id': 'steel', 'category': 'steel_m3', 'qty_m3': 1.208, 'qty_kg': 9482.8, 'a1a3': 18965.6, 'a4': 113.79359999999998, 'a5': 189.65599999999998, 'total': 19269.0496, 'cost': 0.00030777061599999994}, {'material_id': 'timber', 'category': 'timber', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}, {'material_id': 'us_steel_22', 'category': 'concrete', 'qty_m3': 0.0, 'qty_kg': 0.0, 'a1a3': 0.0, 'a4': 0.0, 'a5': 0.0, 'total': 0.0, 'cost': 0.0}]",0.0,composite_deck,composite
